Population,Latitude,Longitude,NodeSize
Adygei,44,39,8435.658926074266
Balochi,30.49871492,66.5,9104.218533960317
BantuKenya,-3,37,11835.672054381224
BantuSouthAfrica,-25.56926433,24.25,13148.59753740621
Basque,43,0,8381.774590127527
Bedouin,31,35,8585.539577994266
BiakaPygmy,4,17,11701.400971148872
Burusho,36.49838568,74,9012.514911385193
Cambodian,12,105,8588.222823589276
Colombian,3,-68,6863.580417222872
Daur,48.49753416,124,8342.5545413085365
Druze,32,35,7840.745971563137
Kalash,35.99366014,71.5,7891.090929477201
Lahu,22,100,7975.0274352498955
Mandenka,12,-12,11435.673799604028
Maya,19,-91,7151.755462673195
MbutiPygmy,1,29,12604.657325909686
Melanesian,-6,155,6733.066441400694
Mongola,45,111,8321.451918691577
Mozabite,32,3,9123.856510581862
Palestinian,32,35,8762.889924112227
Papuan,-4,143,7192.5387693347975
Pima,29,-108,6446.292906185916
Russian,61,40,8582.436475141101
San,-21,20,14517.26379177358
Uygur,44,81,8702.56509277475
Yakut,62.98287845,129.5,8311.584173001422
Yi,28,103,8324.272445960534
Yoruba,7.995094727,5,11483.683891374101
